file_id_1,file_id_2,topic_1,topic_2,pair_type,s2_score,text_1,text_2
micro_b001,micro_b002,waste_separation,higher_dog_poo_fines,different_topic,0.2008144979207021,We Berliners should take the chance and become pioneers in waste separation!,"Higher fines are therefore the right measure against negligent, lazy or simply thoughtless dog owners."
micro_b001,micro_b003,waste_separation,health_insurance_cover_complementary_medicine,different_topic,0.2291694015264511,We Berliners should take the chance and become pioneers in waste separation!,Health insurance companies should not cover treatment in complementary medicine
micro_b001,micro_b004,waste_separation,public_broadcasting_fees_on_demand,different_topic,0.212022272188489,We Berliners should take the chance and become pioneers in waste separation!,"Nevertheless, everybody should contribute to the funding of the public broadcasters in equal measure,"
micro_b001,micro_b005,waste_separation,stricter_regulation_of_intelligence_services,different_topic,0.2558104799853431,We Berliners should take the chance and become pioneers in waste separation!,Intelligence services must urgently be regulated more tightly by parliament;
micro_b001,micro_b006,waste_separation,introduce_capital_punishment,different_topic,0.18445389717817307,We Berliners should take the chance and become pioneers in waste separation!,The death penalty is a legal means that as such is not practicable in Germany.
micro_b001,micro_b007,waste_separation,higher_dog_poo_fines,different_topic,0.21396495575128602,We Berliners should take the chance and become pioneers in waste separation!,That's why causing such obstacles must to be more urgently punished.
micro_b001,micro_b008,waste_separation,over_the_counter_morning_after_pill,different_topic,0.23267128093298092,We Berliners should take the chance and become pioneers in waste separation!,That's why a visit to the doctor and professional advice should remain mandatory.
micro_b001,micro_b009,waste_separation,cap_rent_increases,different_topic,0.19502465226756993,We Berliners should take the chance and become pioneers in waste separation!,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.
micro_b001,micro_b010,waste_separation,health_insurance_cover_complementary_medicine,different_topic,0.21360313819675913,We Berliners should take the chance and become pioneers in waste separation!,"Alternative treatments should be subsidized in the same way as conventional treatments,"
micro_b001,micro_b011,waste_separation,higher_dog_poo_fines,different_topic,0.25893111656541407,We Berliners should take the chance and become pioneers in waste separation!,For dog dirt left on the pavement dog owners should by all means pay a bit more.
micro_b001,micro_b012,waste_separation,school_uniforms,different_topic,0.15677609823752142,We Berliners should take the chance and become pioneers in waste separation!,"A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power."
micro_b001,micro_b013,waste_separation,health_insurance_cover_complementary_medicine,different_topic,0.19048101364112482,We Berliners should take the chance and become pioneers in waste separation!,Health insurance companies should naturally cover alternative medical treatments.
micro_b001,micro_b014,waste_separation,public_broadcasting_fees_on_demand,different_topic,0.1911919383860346,We Berliners should take the chance and become pioneers in waste separation!,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc."
micro_b001,micro_b015,waste_separation,allow_shops_to_open_on_holidays_and_sundays,different_topic,0.19415212083946576,We Berliners should take the chance and become pioneers in waste separation!,"Well, I as an employee find it very practical to be able to shop at least on weekends."
micro_b001,micro_b016,waste_separation,increase_weight_of_BA_thesis_in_final_grade,different_topic,0.18100054600299934,We Berliners should take the chance and become pioneers in waste separation!,It would therefore be wise to adjust the required effort for final theses accordingly.
micro_b001,micro_b017,waste_separation,cap_rent_increases,different_topic,0.15874328162219073,We Berliners should take the chance and become pioneers in waste separation!,Rent prices should be limited by a cap when there's a change of tenant.
micro_b001,micro_b018,waste_separation,health_insurance_cover_complementary_medicine,different_topic,0.281769973428353,We Berliners should take the chance and become pioneers in waste separation!,Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.
micro_b001,micro_b019,waste_separation,buy_tax_evader_data_from_dubious_sources,different_topic,0.17066505914781152,We Berliners should take the chance and become pioneers in waste separation!,Tax data that are not made available for free should therefore not be acquired by the state.
micro_b001,micro_b020,waste_separation,make_video_games_olympic,different_topic,0.3161234172379099,We Berliners should take the chance and become pioneers in waste separation!,computer games should also not be recognized as Olympic events.
micro_b001,micro_b021,waste_separation,charge_tuition_fees,different_topic,0.17749380783454793,We Berliners should take the chance and become pioneers in waste separation!,Tuition fees should not be charged in Germany.
micro_b001,micro_b022,waste_separation,keep_retirement_at_63,different_topic,0.2313608697482518,We Berliners should take the chance and become pioneers in waste separation!,"No, the retirement age should be raised to 65 again."
micro_b001,micro_b023,waste_separation,introduce_capital_punishment,different_topic,0.23721880592950959,We Berliners should take the chance and become pioneers in waste separation!,That's why Germany should not introduce capital punishment!
micro_b001,micro_b024,waste_separation,cap_rent_increases,different_topic,0.2376138789786233,We Berliners should take the chance and become pioneers in waste separation!,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.
micro_b001,micro_b025,waste_separation,health_insurance_cover_complementary_medicine,different_topic,0.2693152545496475,We Berliners should take the chance and become pioneers in waste separation!,A reduction in the amount of chemically produced medication per person is most certainly desirable.
micro_b001,micro_b026,waste_separation,health_insurance_cover_complementary_medicine,different_topic,0.20743783712387084,We Berliners should take the chance and become pioneers in waste separation!,The statutory health insurance companies should also cover treatments with non-medical and alternative practitioners.
